Request,Response,Time
hi,Hello!,"00:14:17:AM, Date: 19/11/2022"
What your name,My name's Corgiman,"00:14:35:AM, Date: 19/11/2022"
can you help me,I can guide you through some courses,"00:14:53:AM, Date: 19/11/2022"
no,Hi there,"00:16:54:AM, Date: 19/11/2022"
hi,Hello!,"14:44:24:PM, Date: 19/11/2022"
how are you,You can call me Corgiman!,"14:44:48:PM, Date: 19/11/2022"
hi,Pleased to meet you,"15:50:54:PM, Date: 19/11/2022"
hi,Hi there,"16:09:50:PM, Date: 19/11/2022"
hi,Hi there,"16:09:58:PM, Date: 19/11/2022"
hi,It's nice to meet you,"16:11:05:PM, Date: 19/11/2022"
wwhat your name,My name's Corgiman,"16:11:19:PM, Date: 19/11/2022"
yuuyu,What can I do for you?,"16:11:26:PM, Date: 19/11/2022"
hi,It's a pleasure to meet you,"16:44:59:PM, Date: 19/11/2022"
hi,It's a pleasure to meet you,"16:45:40:PM, Date: 19/11/2022"
hjjij,Hi there,"16:45:49:PM, Date: 19/11/2022"
what your name,You can call me Corgiman!,"16:46:00:PM, Date: 19/11/2022"
jiiuiu,It's good to see you,"16:46:17:PM, Date: 19/11/2022"
yyyy,It's good to see you,"16:46:25:PM, Date: 19/11/2022"
no no,What can I do for you?,"16:46:31:PM, Date: 19/11/2022"
hi,Hi there,"16:58:38:PM, Date: 19/11/2022"
ftghj,What can I do for you?,"16:58:45:PM, Date: 19/11/2022"
uuu,Hello!,"16:58:57:PM, Date: 19/11/2022"
hi,Hey!,"17:05:18:PM, Date: 19/11/2022"
what do you do,I can guide you through some courses,"17:05:32:PM, Date: 19/11/2022"
hi,Hello!,"17:06:32:PM, Date: 19/11/2022"
what do you do,I can guide you through some courses,"17:06:44:PM, Date: 19/11/2022"
cheerful,Hi there,"17:10:02:PM, Date: 19/11/2022"
nnnn,Hi there,"17:10:29:PM, Date: 19/11/2022"
hi,Hi there,"17:23:26:PM, Date: 19/11/2022"
